,2,3,4,5,6,7,8,9,10,J,Q,K,A
2,"(9.5961, 9.6034)","(9.5903, 9.6142)","(9.5802, 9.5957)","(9.5693, 9.5652)","(9.5497, 9.5755)","(9.553, 9.4778)","(9.5203, 9.4801)","(9.5112, 9.4848)","(9.4933, 9.486)","(9.4839, 9.4324)","(9.4783, 9.4674)","(9.4168, 9.5404)","(9.4519, 9.4486)"
3,"(10.641, 10.5941)","(10.5426, 10.5728)","(10.538, 10.5839)","(10.5479, 10.5146)","(10.5582, 10.4728)","(10.4698, 10.4274)","(10.4725, 10.4651)","(10.4004, 10.435)","(10.4259, 10.4407)","(10.4516, 10.4857)","(10.4927, 10.4474)","(10.4076, 10.415)","(10.4324, 10.3612)"
4,"(11.5598, 11.5599)","(11.5421, 11.5323)","(11.5395, 11.4809)","(11.4456, 11.4847)","(11.526, 11.4708)","(11.4869, 11.4453)","(11.3876, 11.4421)","(11.3819, 11.3911)","(11.3481, 11.3531)","(11.381, 11.3499)","(11.3682, 11.3862)","(11.3656, 11.4018)","(11.3206, 11.34)"
5,"(12.5392, 12.4896)","(12.4774, 12.5166)","(12.4729, 12.4829)","(12.4764, 12.4407)","(12.4457, 12.4022)","(12.3606, 12.4219)","(12.375, 12.389)","(12.3438, 12.4096)","(12.4249, 12.3074)","(12.3345, 12.3578)","(12.4011, 12.3559)","(12.3257, 12.3439)","(12.2691, 12.3234)"
6,"(13.417, 13.4572)","(13.4193, 13.4607)","(13.4717, 13.4767)","(13.4398, 13.3765)","(13.3794, 13.4022)","(13.3413, 13.3851)","(13.3226, 13.335)","(13.246, 13.314)","(13.3042, 13.306)","(13.3364, 13.322)","(13.3076, 13.2866)","(13.3197, 13.362)","(13.253, 13.3052)"
7,"(14.4232, 14.3986)","(14.3741, 14.4326)","(14.348, 14.4025)","(14.4118, 14.3529)","(14.3518, 14.3122)","(14.2928, 14.2528)","(14.325, 14.3171)","(14.2791, 14.2753)","(14.254, 14.2801)","(14.2331, 14.235)","(14.2611, 14.2366)","(14.2702, 14.2661)","(14.2352, 14.2388)"
8,"(15.3124, 15.3633)","(15.3609, 15.3639)","(15.3746, 15.3672)","(15.3503, 15.3453)","(15.2907, 15.2803)","(15.2517, 15.2269)","(15.2064, 15.2512)","(15.2421, 15.2287)","(15.221, 15.2412)","(15.2499, 15.1792)","(15.1802, 15.1608)","(15.2561, 15.2049)","(15.2196, 15.1925)"
9,"(16.343, 16.3533)","(16.3217, 16.3381)","(16.2993, 16.3393)","(16.3362, 16.2825)","(16.3172, 16.2299)","(16.2542, 16.2342)","(16.2623, 16.2219)","(16.1895, 16.2079)","(16.1789, 16.1945)","(16.1848, 16.1795)","(16.1346, 16.1911)","(16.2146, 16.1981)","(16.2098, 16.1618)"
10,"(17.2982, 17.3225)","(17.2588, 17.2849)","(17.3202, 17.2333)","(17.2887, 17.2505)","(17.2123, 17.2785)","(17.1991, 17.2244)","(17.0931, 17.2378)","(17.1132, 17.1494)","(17.1618, 17.1596)","(17.1355, 17.1282)","(17.153, 17.1252)","(17.0856, 17.1166)","(17.117, 17.0893)"
J,"(17.3016, 17.2436)","(17.3695, 17.3062)","(17.2974, 17.251)","(17.2219, 17.2598)","(17.1958, 17.2759)","(17.2041, 17.2298)","(17.1998, 17.1485)","(17.1611, 17.1801)","(17.1412, 17.1365)","(17.1902, 17.1401)","(17.1474, 17.1659)","(17.1163, 17.1323)","(17.1373, 17.1558)"
Q,"(17.3144, 17.3339)","(17.313, 17.2719)","(17.2849, 17.2115)","(17.3082, 17.2446)","(17.1684, 17.2116)","(17.2066, 17.237)","(17.1416, 17.2262)","(17.149, 17.2088)","(17.1549, 17.1801)","(17.1786, 17.1422)","(17.1635, 17.1167)","(17.1357, 17.2043)","(17.1338, 17.0783)"
K,"(17.3456, 17.3308)","(17.3187, 17.3056)","(17.2733, 17.3239)","(17.23, 17.2491)","(17.2591, 17.202)","(17.2119, 17.2243)","(17.203, 17.1642)","(17.1789, 17.1626)","(17.106, 17.1421)","(17.1064, 17.1244)","(17.1229, 17.0808)","(17.1499, 17.0833)","(17.1214, 17.0994)"
A,"(17.8794, 17.8794)","(17.8354, 17.8475)","(17.8192, 17.8181)","(17.8325, 17.7555)","(17.7394, 17.723)","(17.7509, 17.7672)","(17.7697, 17.7071)","(17.7909, 17.689)","(17.6772, 17.6618)","(17.679, 17.674)","(17.6613, 17.7251)","(17.6749, 17.7203)","(17.8506, 17.8783)"
